0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
1.06634	0.568305	10.7445	-0.224829	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.21042	0.527008	4.89626	2.90587	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.26147	0.975645	2.37362	4.68911	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.43692	1.13737	2.76061	4.18529	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.76003	1.23911	3.69992	3.47413	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1.98937	1.3139	3.9641	3.05919	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.23437	1.38804	4.19147	2.74161	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.48908	1.4015	4.41906	2.27021	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.80068	1.41122	4.77858	1.86219	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.04368	1.36478	4.89417	1.39614	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.38179	1.28027	5.2132	0.808164	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.70817	1.13085	5.45393	0.117443	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
4.01114	1.09269	5.58152	-0.0359675	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.30432	0.983152	5.64449	-0.406514	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.57338	0.938485	5.50304	-0.50815	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.7624	0.919873	5.34836	-0.447021	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
5.02483	0.850053	5.20292	-0.625533	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.3278	0.770603	5.28504	-0.794944	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.59531	0.709252	5.40911	-0.850429	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.8911	0.675825	5.4535	-0.82832	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.13261	0.56981	5.22559	-1.03902	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
6.37988	0.644443	5.19648	-0.64801	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.63301	0.622183	5.14246	-0.619332	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
6.87113	0.629945	5.10716	-0.499721	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
7.11405	0.567077	4.92918	-0.623537	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
7.3198	0.671561	4.85068	-0.216213	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.62357	0.625139	5.20408	-0.310664	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
